source_path,size_bytes,sha256,disposition,canonical_target,reason
Threshold Python/Material/US-23-Nguyen-TSSHOCK-Breaking-MPC-Wallets-wp.pdf,435015,a892cbbc863dccd205d3e9476b3ce6236d00efa4c701edba9e7c7360a3d3a7b6,Excluded PDF reference,—,TSSHOCK papers are useful security references but PDFs are excluded from compact canonical masters.
Threshold Python/Material/US-23-Nguyen-TSSHOCK-Breaking-MPC-Wallets.pdf,1250121,8238343612f3a7aeaba2fb13247d1059c7fc83b97958fc3a0c8d12da3526656b,Excluded PDF reference,—,TSSHOCK papers are useful security references but PDFs are excluded from compact canonical masters.
Threshold Python/ring-signatures/ring.py,2936,1fac23b108b7e15497cfd531fb87df0e6a59b142fc1543e904bde662a69cec2e,Reference-only / separate scope,—,"Ring signatures are a separate digital-signature/anonymity topic, not threshold-signature engineering."
Threshold Python/tECDSA/tECDSA.py,4900,d40f9b3a4bb63ea99d74f9ec840a19492188a705be49f8cdbf3cb8422ebd6745,Integrated / reworked,src/content/blog/threshold-ecdsa-nonlinearity-preprocessing.md,Used as the explicit anti-example showing why independently signing with Shamir key shares is not threshold ECDSA.
Threshold Python/threshold-rsa-master/threshold-rsa-master/.gitignore,5,c7586350e75d4f16db42e8153d8746d41cda77d63964836a50549b47bb98a841,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/helpers.py,5855,0037278b6f188802ff2b7b2ce26c3e4cdcf37842b79b1ff35b82bfe52c897112,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/picklePrimesSmall.pkl,1049158,3bb8e7984f5b8e9e7b9a0235c1e9866ba8df72a72028d4a747a9c0cb3cf25017,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/primes_up_to_1000000.txt,538467,28101cf8d77d7d6a2c4ef527c749bd882acb96b4d87a7551ce847d1bd5d906d1,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/README.md,36,462cea538ccb62f5b5d7639e5f48937a8e3d6c5871714f3af57ce578a807edb4,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/testIssue.py,1028,5641ef8f6d278750bb37f461d707ec21a4158f5e8717471e32d6f6a0a6de2392,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/tests.py,8697,69896243905574790c0d4d3b4b4fa9aa2e89436569331a548d0c0e9099f934d6,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/thresholdRSA.py,8736,fa365ddf9670e1ce7956db8f4ab0d2a98e966be195ee6495e197a66e7806a74a,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-rsa-master/threshold-rsa-master/thresholdRSA2.py,9487,fc0654ff7b517d75a142ee9a99dc877571f3ba9065f4c36926e04f1b146dc190,Reference-only / separate scope,—,Rough threshold-RSA teaching repository is distinct from the TinySig/threshold-ECDSA task and is not promoted in this batch.
Threshold Python/threshold-signatures-master.zip,1300102,971cf69ae0a217c2c91bdd8c70f062f49ff0c69243ac3512c2e7a658fc7fd091,Excluded raw archive / reference,—,Nested third-party Rust threshold-ECDSA archive is retained only by source provenance; raw ZIPs are excluded from compact masters.
Threshold Python/tinysig-main/testing/runme.py,832,3348c38739b14e71320e01962f5a9c5456c022608894e5379cc45375d60556df,Integrated / reworked,experiments/threshold-cryptography/tinysig-analysis/runme_clean.py,Recovered public-API attempt; replaced by a clean isolated-environment runner and documented in the TinySig deep dive.
Threshold Python/tinysig-main/tinysig-main/.git/COMMIT_EDITMSG,11,d1842c37751bdb583f39af8a08670b0ef57ab7ce7ef6c578f704922e34eedda6,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/config,346,ebfeadc264dc59334d01aa0071c0ce3d1c69ec8542c283ae0d3434f04d57cb8d,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/description,73,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/FETCH_HEAD,106,c805c2150038422ee525a6aff996bb982fb08515fa1089bf497a945a97cb62b3,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/HEAD,21,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/applypatch-msg.sample,478,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/commit-msg.sample,896,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/fsmonitor-watchman.sample,4726,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/post-update.sample,189,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/pre-applypatch.sample,424,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/pre-commit.sample,1643,f9af7d95eb1231ecf2eba9770fedfa8d4797a12b02d7240e98d568201251244a,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/pre-merge-commit.sample,416,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/pre-push.sample,1374,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/pre-rebase.sample,4898,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/pre-receive.sample,544,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/prepare-commit-msg.sample,1492,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/push-to-checkout.sample,2783,a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/hooks/update.sample,3650,8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/index,6045,1c53ee18c9df0a47d48adabc3d72f1a0f45667ce4d0be964087895232c1c047a,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/info/exclude,240,6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/logs/HEAD,707,011c01b4ed2217d332b70323662f4694f0e2ae52f6f464d5ab696dbd019efaf0,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/logs/refs/heads/main,553,de0c50ea5ad73ebdf7f21632437fb12548f842a5c55e96373a6ff5708ab2f7c9,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/logs/refs/remotes/origin/main,534,2b0e35c32232dc6e7ccbbcbbb2aeb8274c3206c8840989048460426f85345d50,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/00/59f71296a91f1e8b3814515f1d2d27a7d2da9f,401,e11d488770648af8055d80db4cd9e7dd1c5c816e96421bbc8f3a37079b7c481a,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/01/2fec870a6bef3087bd1c8b91075ac350b0b5dd,7499,3ea8eee1c7fd0ff78e9ecac75bbb25304350242cb44a2bbff1fd434a31b93fc9,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/06/43290ce41a90d8123c37fb1e58e26832448311,286,f9280442b8e475e1c871933a6b8c65b8e547c4627603e40f06eee64376c34cf5,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/0a/9e102677e6781a5d4e9b15e4d4e341083a5bcc,49,22064924d870adc5cca918b53fb3ca208aecbe12d4619f0bd2f76d3d914386ad,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/0d/efe6fe2084f4bad2e988f507a04c2812218fed,379,1ae0fb4f2eca68158a5280d44bd486ea31de4414809cea2188e6de16c8255aee,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/11/0796165f1f5623d47d252fe695a8c6ef5300b6,89,b36b150b79ff95d0f5aab816bc183c18fba023d5c008c5075772dc56f3da6b8f,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/14/d4e59bc65e2870cbf87d1b2fc78537bd3ad268,533,9ffe9a8152563edbda6cbaf3cc98293e5f291cfc91dd7f9f0849f9d92654d3b2,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/15/2a13f9771b9bcaade6e5eede4dc2aed946ac7a,473,5b76b4418e9e6621d38a655ef6c1cb9aeabab8b87eee01185e5064567af0b449,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/16/f8c2a8de3befc0bc8225b737bc93d7f2eab05f,126,61563e6845f612d811fc1ba9c13a75f030d10eb988efa21c696ea93c6823d17d,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/1b/e3d1862bde005228e1f75b8f64b3f1f911aa8d,81,0daca845501eebbd89a1c27da3acc53d513c4f50ab37bf28bf29bb3d47316554,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/1d/738dda46160caa7f42c989be2ab96186b1257e,26,0b52282fc13f95ed88b04c12531d2be642e7049c608614b275bca5e148f20561,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/1d/ecb6d1497cc889f8df8092c14e15d492f9f0a4,63,8db391a7720b12956c4ce21148027d0ce8c8fdcdbdfdcf0c9dc71aff1be08882,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/24/abda989651a907618ef4f7da5dd6d286bf9245,1145,124de1d9ef3184971b46f798d6ee2620ee8c26328ad84c890d2994b73c3872b0,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/25/f9635a712bd75c575873d01e93a488fa54d0b3,1237,beafa616cb2472df528bb0c5de3c65d41bff4245c04dc7fc5d2ba5092630a2db,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/26/0de4a3b0f3f4cf4969f6d48f62919171364d2d,1805,f99eeb88a155d4dc76aa2b3175caec7addd501bc67228027e43f9352a9469883,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/26/d209f5e43dadbe1d6a59531d61adcdcb2a7e57,418,f6122ed425eb4f9d9893061c7da220302d740f9a5bceb37e424f2e4aa5ace229,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/27/1f0be32e70797bb5e85a0c78e043747bb9c843,964,ee0f64349621eed00914025a844e85c43828e2efa9b834c643c2931a5995d8c4,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/2c/c5c8a3d291f72545581df2fb2f87fb7e424bed,55,ff8a0fdb95d5dc220b08890b30dfc30484fe361ffcb104f3a8eafe2dcb381863,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/2d/264b2acdb8d78ac755a70daf24e08113a71a62,153,ab5cbcb6cebf3ccc9bcf4ab7e994c6d1900c785056fe8147a7bada7b5a9956f6,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/2d/ec0698f586edf4e4e097f2b231ae0da6930671,34,84e38c40f6bb23ce2419807fd853de4f3bfa57361461199a2d87ff5febf359da,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/2f/a0673359e8f0806381a5378f37aba9d9c87254,3264,04cb549ec151630308fad65f73eb7537bffc179b90230144d37cb5c6df0a6e03,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/36/ab671609cefab0aba9358ee513234ee6de3177,2142,dcd818a5bbe820fa76c8deacefbb1e34f097995dde4b90cfc720ddc97bc52d40,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/39/427768fd1b2ac4073e9af23d963f222800ae1a,81,e87b5159524dea3666c50de03df97b1a9eb2bc81f83b531d3fe6ca2463d70939,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/3b/beafe8b6dbfb44435fe07e1ae04da8fd5530eb,368,f5d379fadab21eed6adf17598872ab7451948aec6a0a899dd41a238206999656,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/3f/6b08b32b6f572fe3afc0990b3084d185b41965,192,760b7722cd30fd22da0edbc2958f811c68a3949ba47b05353693e2ef1b246ed3,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/45/3eb51bafd7166f493dcc531e1296c6307bf7e3,211,d196d92b73bd38b2cb49800db6407bc87447f042711757a1c95524b9422191cf,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/48/e0aaafc35674091b39bfe580de6093e6de012d,164,f96763c9e4f2b9e55a6fd9c617fb7f4ec293699877d97731b8e1bf77591433a0,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/49/5cba85bd8b9f611a1c83bd08403732393b91c5,156,51741d770a1a1c8d9882457e45d3c0ce75bbb860260d2375a8d4c0e2289a5d9f,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/4a/b53c8f5e12719f3e6c83e3f2050d6ed565c0f3,2467,5613973bd1b64cbbe327ff18a6d80d01214f0d3a5fe88306571ef14c8c44fd00,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/4b/338b05cdbe561ec2ce29e0aead04c09c3d1c5b,2003,0a17711be8a020a29ead687783b4fd98d20158f0123eefd95a51eefde2da1d9e,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/4c/08b94bcc2a72893887beebe62c03c6100b580e,405,523ca69f7ce640044484d1226535ced39b39ed4e187cbb801cfeaede44aaf0c1,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/4d/7a09d8879cad20cf2f50315dd783eeab61f2d2,176,1464649462712a704ac881fa1cba318f3c53aa51bef7fc091c342af268ccf9b3,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/54/dc04b38ad40ba6bce8d71e09be4f06dd97b859,76,c67681f8322eb5a0e1d9ff6aca34a1cc4a196b6cdbcbe175320cb868dfb4d4c5,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/55/df7c51026c6e07fdfa804eb7a2efdaf48be85c,73,028d84ad7803c0977f703eaa0a2ad30ec4ea12ae24a8c8c81ba9ac299b7cf9d5,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/56/b51810670c5dbd6e67ddc3ab8e28ef350ae447,402,e9f5b9702438d545da81367208e126ff553ea195a6b5859fbb5d9b3385e5459b,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/59/e7fad48279fb4efa88241ebe8c2f3268c98d31,61,ff346551bab8199924f569313687af20a463ab374abce021ca1d79f687a316ae,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/65/efc292eb0e5488d998001de7884fe9e09e03a2,84,a5c7b393df9cc1dfe3515c984db56a787ddd28365a66df2b21f59b148b3d3f8b,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/67/61a81317d26d2d61d5554ab55b4fb9c7cd1ef6,69,7d891e3394c4355a04e1292210d43e4318d6f6a32efce2483f5add090113a97a,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/68/bc17f9ff2104a9d7b6777058bb4c343ca72609,1544,75608886900095ba93d5f641ee8e7ad3cd406cf6f00f32c705f57b11a3e31cff,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/69/77af8c948d6e854ab431f4dba7940f6fd39cd1,315,a15a3cbdcaab3ed8904c69bf376ff9c17bb45bbd10ad11eb29a618dcb95d03f1,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/6c/e8995d20664cc4afde84c195e1630a7a84cb53,108,dda8baf3b8bf63a29e66bb516fae42974a16d3f5475cfa39c4274f7c4b77903d,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/6f/3a1ea718fe7d2e571396bd602ca01b53a38439,794,e11e61ed15952629bbe90df2e6b3975c7fb926d1f41547faa886e9964a996675,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/74/6cdd220c3e3995c081aac27b3fd29efacebb66,121,b7e9ab750532dabeda341ca9926170fb5c35c60a96ba40eb1d4be8acd7cf66e7,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/77/8c200901d2db610c3d90747f7fd05792a03ae0,439,08a93993e5192ae70d1cbf57ef89154240ff47a67fd0fcdaac5128e8e14bc8e0,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/7a/a512dd4314871f3a455cdfe9e06d7c2eee9091,2420,387476d739ee6001336f9d5b4db2bc7e2ba08582f34873f2a40aeef7a2906f8d,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/7b/9e0c2620a76dd4ae504c4edeb4025cf7468389,36,7d192e4b9f38c91f78639fd72118beb891a7948b71bab3df4511b0d880264e89,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/7c/d2eb723a8e69147e8447acfcc438785b2dbdcf,171,dbc14752858244745bfb173fac0257a6bb870444b880f5e8f4cc07206361d7a2,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/80/75db3c1b6a587e806cccd45bf3d56636a1bd90,85,3421a364c1d3aeff19dfbf408543617e2e0899c38edccbdf866cb2f6d0c07182,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/86/ee7196ba8f21a93de8274a75bdfdc5abdb4977,2150,fe9116ddf0e0be10685049bb721c58235e7782e75efeab053bc7687a1cecd009,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/89/f04935e93b9a1dced3375a9de3fdce2e10b897,1686,91ffa35ad14a2ed7f77a1f1c82105b84b6e93250f2aa269fea3e26dfb7a90cf0,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
Threshold Python/tinysig-main/tinysig-main/.git/objects/89/fef41859ae9e982d779da494a2e75d3446e2bf,1896,60d0b54f9b75005370aad09f03a0df5a612e0b9cee47596f149bd0b82bbfebb3,Discarded repository metadata,—,Embedded Git object/hook/log metadata is not canonical content.
