source_path,size_bytes,sha256,extension,disposition,canonical_target,archive_status,notes
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/#2_BlockCiphers.pdf,548127,44358593ab520e39ef2d70074940b72be5d8ef83ac003b0217c029a4f1dddd41,.pdf,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/#2_BlockCiphers.pptx,349600,c8fe3498fc97969a8a1509269d973df1f067a23713aec95ad589d2e71a43089e,.pptx,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/Homework/Assignments/ctr_with_ecb.py,651,c80c6ec87d6cbf87857479b2e1d86d913abed5177d73ba2fcff61af3d2c728ae,.py,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/Homework/Assignments/output.txt,235,544d04d3b1aa313925dc8f14f0aa76f38ed69a666a326ccfa01254434fbc6fd0,.txt,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/In Class Coding Assignments/cbc-with-ecb/cbc_with_ecb.py,728,f16cac25b4ae330245526fe67aac835be05ab74d4a6a7ca6d8820a5b6ec784cd,.py,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/In Class Coding Assignments/ctr-nonce-reuse/example.py,789,11934fe66b3f1504f2dcb402135542e0922eee5047358fc246e8a63e16ce5de6,.py,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 2 - Symmetric Encryption (Block Ciphers)/In Class Coding Assignments/ctr-nonce-reuse/solve.py,598,57f742a26ad85caba6bf1995d0e7a78568456148438c1cb58f7891ef91daf898,.py,superseded_by_canonical,src/content/blog/padding-and-encryption-modes.md; src/content/blog/authenticated-encryption-aead.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Block-mode material is already covered by the canonical symmetric path.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/#2_StreamCiphers_OTP.pptx,182422,49fe02508edc9446bfff793e2fda902135434e18eb33ddcaf05afd6a97f03df0,.pptx,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/#3_StreamCiphers_OTP.pdf,358941,dcbbb013a297a5a3f2fe560dc312da0103bac57a5b8e012aedbd59bde4e9d2db,.pdf,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/Crib Dragging - Live Example/Example/example.txt,390,54bbb633e2146352f0f7a4d389051373111f22d2e0bb6c5a53bba7d8828447df,.txt,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/Crib Dragging - Live Example/Solution/solution.py,936,4243bfa7ea2ed2892257918e59f95a191c175de93ceabf776593110d76b3dfe0,.py,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/In Class Coding Assignments/lab2_kpa.py,453,b1a2f799c3cba98a1a9e60029bd41d3294d01ca81bc8230be718d9c78c9eccca,.py,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/In Class Coding Assignments/lab2_xor.py,168,a967547d45ee927bcf0605830ac0021ac7101d24a6e0c8aba28ce2a754e52257,.py,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/mt-python.png,47736,2729114bdd37f5b5c288e30a30c6b43a6a988f0f5ea38b03b1ad9d9c9d002592,.png,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 3 - Stream Ciphers & OTPs & PRNGs/stream-ciphers-task.png,78262,ef8f0e13e950badfbdd4d06749a607ae00ab189f6c35d3aa5a068ac7df2b100d,.png,integrated_rewritten,src/content/blog/otp-stream-cipher-key-reuse.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),OTP/stream reuse and crib-dragging material consolidated into the canonical attack article.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/#4_HashFunctions_MACs.pdf,590279,95c2ae761675de349dd249a19c16af5a4bc48589c3187d77545877380c55953c,.pdf,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/#4_HashFunctions_MACs.pptx,884272,cd0c5ca17253e2c0b2d7cf934b8cbac981f4ae188e2728b7b7cab3e893bc17b3,.pptx,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/Homework/Assignments/Blake Collision/blake_collision.py,339,026ba3a6e2f894e164dbf4c764ad782e651f8a8abc4eac090215b1608b0d12c7,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/Homework/Assignments/Find the Password/find_the_pwd.py,730,e0558b2acfd5b8bbdaa5b8107bec2036bbeaaadae8ef7fa5b4db817a262c3154,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/Homework/Solutions/Blake Collision/solution.py,397,93961d01c42181054088746df19f1fe2e4ae579be1738c5d3d10232361a332f8,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/Homework/Solutions/Find the Password/solution.py,544,95a8bc3b40f7629198524c44c66d009b3ca958ff3f702e6a650f069a2e0ec318,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/caesar_hash_preimage.py,154,54aecbcfa122fee9a0fef6dde1c5d5e0643287e5e7361a732d1adbefcfe7ea48,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/caesar_hash_preimage_solution.py,309,b7336c25209aef894a312cd7a592a9bbfde4e3a9940d44ce0573115ad9cdc61c,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/custom_mac_example.py,181,4a4a7b783d2d815cf513f24c18d612832d051a8cab652b892373fd6242e57364,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/digit_sum_second_preimage.py,274,a1e6f2d6be54d59b900fcf4bed09fe7f7f676135213d4b1dac1246480e50e6ec,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/linear_preimage_attack.py,205,64249ab1689dfd5ae54242af919f66f400dd4fdbdcdacdd6842a5dfe751d91a7,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/logical_and_second_preimage.py,142,eacf11fb0ff136e65e4390804b5ce216b8856ecf5247495a018a6f0743eeddd4,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/logical_and_second_preimage_solution.py,385,891eee629cda460c3d9b09ceda78b66fb564670f9abd4e0093e742003ed04409,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/In Class Coding Assignments/plane_ship_md5_collision.py,270,62b04f706f2e825fd974f59378f06f1f9bd98b5d10ca11a5e74e8fe48b12817b,.py,superseded_by_canonical,src/content/blog/hash-functions-primer.md; src/content/blog/message-authentication-codes.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Hash/MAC material is superseded by the reviewed Hash Functions & MACs series.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/plane.jpg,335104,91e34644af1e6c36166e1a69d915d8ed5dbb43ffd62435e70059bc76a742daa6,.jpg,superseded_exact_duplicate,public/images/ready/hash-functions-primer/plane.jpg,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Byte-identical copy already exists in the canonical tree.
Part1/Aristomenis Labs/Labs/Lab 4 - Hash Functions & (H)MACs/ship.jpg,335104,caf110e4aebe1fe7acef6da946a2bac9d51edcd47a987e311599c7c1c92e3abd,.jpg,superseded_exact_duplicate,public/images/ready/hash-functions-primer/ship.jpg,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Byte-identical copy already exists in the canonical tree.
Part1/Aristomenis Labs/Labs/Lab 5 - Mathematricks/#5_Mathematics.pdf,370881,04d4ded280669ea9bd1345b0bdb223655821b77ae784119e4f33b2c6c858fb7b,.pdf,superseded_by_canonical,src/content/blog/01-integers-division-and-gcd.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Mathematics teaching material already covered by the canonical foundations.
Part1/Aristomenis Labs/Labs/Lab 5 - Mathematricks/In Class Coding Assignments/GCD.py,336,b120d387d50e29cc5a063ace639034dda9e617811d85146c35830a42e35de5eb,.py,superseded_by_canonical,src/content/blog/01-integers-division-and-gcd.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Mathematics teaching material already covered by the canonical foundations.
Part1/Aristomenis Labs/Labs/Lab 6 - DLP & DHKE/#6_DLP_DHKE.pdf,382772,1d56daf1818777887b3af7f933e3960db31304f0d51d651aba23fc29b438c729,.pdf,superseded_by_canonical,src/content/blog/discrete-logarithm-introduction.md; src/content/blog/diffie-hellman-key-exchange.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),DLP/DH material already covered by stronger canonical articles.
Part1/Aristomenis Labs/Labs/Lab 6 - DLP & DHKE/Homework/output.txt,371,7590dea698443ef78a57aae3fc21600fe397a7f462b5b25bd2ab0316cbcaad12,.txt,superseded_by_canonical,src/content/blog/discrete-logarithm-introduction.md; src/content/blog/diffie-hellman-key-exchange.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),DLP/DH material already covered by stronger canonical articles.
Part1/Aristomenis Labs/Labs/Lab 6 - DLP & DHKE/Homework/source.py,1134,7a2f84a3cae42e7820a59526483ad24d8e14c82b1ac64f9a64dc5ab17c8f326b,.py,superseded_by_canonical,src/content/blog/discrete-logarithm-introduction.md; src/content/blog/diffie-hellman-key-exchange.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),DLP/DH material already covered by stronger canonical articles.
Part1/Aristomenis Labs/Labs/Lab 7 - ElGamal & RSA/#7_ElGamal_RSA.pdf,326979,9b7bc3c59e390c303f9e4b6087b56838c2d551e5e75f4ca8bdc76d4f6bfcc8c1,.pdf,superseded_by_canonical,src/content/blog/elgamal-cryptosystem.md; src/content/blog/rsa-cryptosystem-extended-reference.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),ElGamal/RSA basics already covered by canonical references.
Part1/Aristomenis Labs/Labs/Lab 7 - ElGamal & RSA/Assignments/1/output.txt,817,593d1e129ffb31f67156dcfe16c1d882f86d4c364a176d667c07988affe64552,.txt,superseded_by_canonical,src/content/blog/elgamal-cryptosystem.md; src/content/blog/rsa-cryptosystem-extended-reference.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),ElGamal/RSA basics already covered by canonical references.
Part1/Aristomenis Labs/Labs/Lab 7 - ElGamal & RSA/Assignments/1/rsa.py,918,ca103ed8b4af954815d322c79c850521427556cadd7f4240efb44dbff2eae1ea,.py,superseded_by_canonical,src/content/blog/elgamal-cryptosystem.md; src/content/blog/rsa-cryptosystem-extended-reference.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),ElGamal/RSA basics already covered by canonical references.
Part1/Aristomenis Labs/Labs/Lab 7 - ElGamal & RSA/Assignments/2/output.txt,538,8be29f9f2bb18b506e4291640fe5a35c522e93cf6c2917153dee8c10dfc37c3c,.txt,superseded_by_canonical,src/content/blog/elgamal-cryptosystem.md; src/content/blog/rsa-cryptosystem-extended-reference.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),ElGamal/RSA basics already covered by canonical references.
Part1/Aristomenis Labs/Labs/Lab 7 - ElGamal & RSA/Assignments/2/source.py,600,0380d54afa122035422aaafb3e917fa48ef042397e424508f70acb266587df56,.py,superseded_by_canonical,src/content/blog/elgamal-cryptosystem.md; src/content/blog/rsa-cryptosystem-extended-reference.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),ElGamal/RSA basics already covered by canonical references.
Part1/Aristomenis Labs/Labs/Lab 8 - RSA Attacks/#8_RSA_Attacks.pdf,422908,76461a8ecc9136cbf0844fff527d28b69601f4f5238188917aa65d4c93478d69,.pdf,superseded_by_canonical,src/content/blog/25-rsa-synthesis-attack-map.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),RSA attack teaching material is superseded by the detailed RSA Deep Dives.
Part1/Aristomenis Labs/Labs/Lab 8 - RSA Attacks/openssl-key.zip,1637,e8654a218d0b678b7983f818cbe07a11197b5864312acc53c591eb22e27515fe,.zip,superseded_by_canonical,src/content/blog/25-rsa-synthesis-attack-map.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),RSA attack teaching material is superseded by the detailed RSA Deep Dives.
Part1/Aristomenis Labs/Labs/Lab 9 - Digital Signatures/#9_DigitalSignatures.pdf,303064,cbe0d6b99bd1786ea8af3ea3e53bb80ff0e4094f287c79a4b440a1b58eba1c14,.pdf,integrated_rewritten,src/content/blog/digital-signatures-foundations.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Signature teaching material informed the canonical signature path.
Part1/Aristomenis Labs/Labs/python-cheatsheet.pdf,390176,4e86cba4cb05051219ac6c21392e641c00b7bdac92b5dea4d56447f9a8f7e80e,.pdf,superseded_by_canonical,src/content/blog/python-sagemath-cheat-sheet.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Reference material already covered by the canonical Python/SageMath guide.
Part1/Aristomenis Labs/Labs/python-cheatsheet.zip,372575,b59ff00e1901ad105ef608596f8b626b27f0beed7b1d0214268efe45ccd62432,.zip,superseded_by_canonical,src/content/blog/python-sagemath-cheat-sheet.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Reference material already covered by the canonical Python/SageMath guide.
Part1/Aristomenis Labs/Labs/SageMath_Guide.pdf,209938,f18f48636034224ad1e8b08ef35e73d604f21c12a458e26adece62d1742c37e7,.pdf,superseded_by_canonical,src/content/blog/python-sagemath-cheat-sheet.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Reference material already covered by the canonical Python/SageMath guide.
Part1/Aristomenis Labs/Labs/XMAS CTF 2024/xmas-ctf-2024/challenge-1/output.txt,5141,4b4b10026d385dc36ba9ef87c185330b06faaf3a2f3034f7a663c901fb071e9c,.txt,archived_teaching_artifact,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),CTF exercise retained only as source/provenance; not mixed into the scientific article library.
Part1/Aristomenis Labs/Labs/XMAS CTF 2024/xmas-ctf-2024/challenge-1/source.py,1169,6d60448ca402b76d5d33eb751d7af36235842c87cdf0e71e10377f5b30ee5895,.py,archived_teaching_artifact,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),CTF exercise retained only as source/provenance; not mixed into the scientific article library.
Part1/Aristomenis Labs/Labs/XMAS CTF 2024/xmas-ctf-2024/challenge-2/output.txt,3145,c801ae6aa76c4671ee7d23d8a8be172f8be8ebdea6e360e3a7ad9427ce7448a9,.txt,archived_teaching_artifact,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),CTF exercise retained only as source/provenance; not mixed into the scientific article library.
Part1/Aristomenis Labs/Labs/XMAS CTF 2024/xmas-ctf-2024/challenge-2/source.py,641,3c51b7384585cd2211a77b95dc44d4425a9ce4e05277c50f39e4fef6b4bbb538,.py,archived_teaching_artifact,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),CTF exercise retained only as source/provenance; not mixed into the scientific article library.
Part1/Aristomenis Labs/Labs/XMAS CTF 2024/xmas-ctf-2024/challenge-3/output.txt,141,4aaf739abe8447aee9a17cf8829e434c4412b27bd1d7045d04310578b2fb451c,.txt,archived_teaching_artifact,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),CTF exercise retained only as source/provenance; not mixed into the scientific article library.
Part1/Aristomenis Labs/Labs/XMAS CTF 2024/xmas-ctf-2024/challenge-3/source.py,831,c2becf89268f87f99791be8e2fc5d4066de4f6bd71e369e24ae220adcfd67b63,.py,archived_teaching_artifact,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),CTF exercise retained only as source/provenance; not mixed into the scientific article library.
