source_path,size_bytes,sha256,disposition,canonical_destination,notes
Mathematics/Advanced NumberTheory/gauss_jacobi_plot.png,15348,4a4cd3d2be6a7af46a20c47882fbcf3d8973c7edfe1a098c3ef480180161db35,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/modulararithmetic.sage,3291,0c56bfb598d129f17ae4ec257fd36d62957351a6a68f89f5223b2694a860c013,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/modulararithmetic.sage.py,4255,c9a6c965c1e76a7f40d3ccbfa392cf67e2f746f0b77189360d5d024456d083bc,discarded generated artifact,,Generated Python translation of a Sage source retained conceptually through the canonical material.
Mathematics/arnaultmethod.sage,5924,bac433b915da704947d4d801b3efb217cffba549e39012ed8da6987053fb7e8d,superseded by stronger canonical work,Strong Pseudoprimes and Fixed-Base Miller–Rabin: The Arnault Construction,Existing canonical Arnault article is stronger.
Mathematics/doubleandadd.py,526,bbd4e973145c8849732bd47d727e0fe2fd0c6ab056a29c8236fe2c00fa829953,superseded by stronger canonical work,Cryptography From Zero / Elliptic Curve Mathematics,Scalar/exponentiation material already covered in stronger canonical articles.
Mathematics/E1-Mathematics/Abstract-Algebra/2. Groups.pdf,752539,29bf4257fe9e8cc9f641298c61801311632f6dc5c531eff71b35fff9e181597c,integrated/reworked,Abstract Algebra Foundations,Core group/ring/field/polynomial notes cleaned and split into the canonical abstract-algebra series.
Mathematics/E1-Mathematics/Abstract-Algebra/3. Rings.pdf,68714,ae7dfc5f25a203065cdd050986c4bebb7e2318761bcaece836c2ae7bfa3b6d43,integrated/reworked,Abstract Algebra Foundations,Core group/ring/field/polynomial notes cleaned and split into the canonical abstract-algebra series.
Mathematics/E1-Mathematics/Abstract-Algebra/4. Fields.pdf,70584,845db61edbfb9a54b793b28930f475b28132bfa15520bd22620d03e39638c19f,integrated/reworked,Abstract Algebra Foundations,Core group/ring/field/polynomial notes cleaned and split into the canonical abstract-algebra series.
Mathematics/E1-Mathematics/Abstract-Algebra/5. Polynomials.pdf,51162,ff77a888f6eb5f164d16849f49814d43ab5b7b8b4f42313f554d90468c045da8,integrated/reworked,Abstract Algebra Foundations,Core group/ring/field/polynomial notes cleaned and split into the canonical abstract-algebra series.
Mathematics/E1-Mathematics/Algebraic-Geometry/Varieties.ipynb,22910,e6399795a601e78ab096e095aaee9c5bea27eec39a676e324cbfcb92cc8fbd8a,integrated/reworked,Abstract Algebra VII / Elliptic Curve Mathematics,Varieties and algebraic-extension material consolidated into the algebraic-geometry bridge article.
Mathematics/E1-Mathematics/Discrete-Logarithm-Problem/1. Babystep_giantstep.ipynb,77766,bbd6cc25b956a3be70fdf4a1bea1d5a4a8bb5d589f7424a278df5cc4b0b87071,superseded by stronger canonical work,Discrete Logarithm Algorithms,BSGS and Pohlig–Hellman are already covered by stronger canonical articles.
Mathematics/E1-Mathematics/Discrete-Logarithm-Problem/2. Pohlig_Hellman.ipynb,322133,4f508ca4a35936c5e8c9682b2f911cdb376607ad254ff544ded6accb0b80d464,superseded by stronger canonical work,Discrete Logarithm Algorithms,BSGS and Pohlig–Hellman are already covered by stronger canonical articles.
Mathematics/E1-Mathematics/Discrete-Logarithm-Problem/README.md,952,6ea4de927518873c602eb403e3f2f3d2e716895b562a5cfeb57b2f73855868a5,superseded by stronger canonical work,Discrete Logarithm Algorithms,BSGS and Pohlig–Hellman are already covered by stronger canonical articles.
Mathematics/E1-Mathematics/Elliptic-curves/Bilinear_Pairings_on_elliptic_curves_sage.ipynb,17488,1ec2089002afe954290bf67308c91ea9029ca37ba4ba023abb1521a011866092,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Edwards_curves_sage.ipynb,328033,5680b8a8d78cb692f7a1ee6dae918d3d9c32ec8413d0ac48336ce5b92d862548,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Elliptic_Curves.ipynb,735273,f6ef07886f09536fad7ebf103ba8c2fef718cc23cc09ead15aebc593ba3a3f8c,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Elliptic_curves_2_sage.ipynb,31997,c6411e1f3ebaa7a56566b6329d20fa776e5f8953ca98047ec1e4ee51d177f1b7,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Elliptic_curves_over_finite_fields.ipynb,23757,dd5eb5c2f6e60e6e8a6da4a8680729c5a9254f93eb672c8d953cf9ea7174c3f5,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Montgomery_Curves.ipynb,12605,01bf249d24594ba3447483515425babbda1fd71ac2b94199a84a6af6a002467f,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Rational_points_on_elliptic_curves/Chapter_1_Geometry_and_arithmetic.ipynb,506068,e1459192ff0415aa30b5380af6afeb72fe3f55a2b908f8840048274d2ec6d274,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Rational_points_on_elliptic_curves/Chapter_2_Points_of_finite_order.ipynb,6576,f9ca502fab73748ae99fd261303ed5cbec3f6f2e1a7b1e4054c8f6da74bd8f50,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Rational_points_on_elliptic_curves/Chapter_3_The_group_of_rational_points.ipynb,8384,bd939665f6b6756f6b6c5b64d9497ceac7d267c9db43fb33491f3565d4d66707,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Rational_points_on_elliptic_curves/Chapter_4_Cubic_curves_over_finie_fields.ipynb,4726,a1bfe35b84db9eca98ac0fd4d7cf63b2d7413b61c66acf638b9c3959c2407883,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/Rational_points_on_elliptic_curves/Chapter_5_Integer_points_on_cubic_curves.ipynb,1260,fd610ea73b65862271f5d0eedd9673e2b690af5088d6223ce9456c70250ff9d9,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/Elliptic-curves/README.md,747,015cdc5f8641c224fadd0573fb6a0fb429742219602cf11bb315f9d6d5972efd,integrated/reworked,Elliptic Curve Mathematics,"Pure EC geometry, rational points, torsion, finite-field curves, pairings, Edwards/Montgomery models, and point-counting material consolidated into the canonical EC mathematics path."
Mathematics/E1-Mathematics/README.md,452,426d4d427c3f62e510ea54629f48276f5ac35105a7ee937e439ba8c703030511,superseded by canonical navigation,site-planning/content-map.md,Old local reading-order note replaced by the site-wide canonical series map.
Mathematics/Elliptic curves/3755-Elliptic curves.sagews,52104,e622feba5762acbbb8f20e20e3c97609bd3922fbe57834f5fa2baabceb9cb148,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/avisogenies-sage.zip,108902,8241cbac95d68949ee2ae1e5bed574810c0495f957aeffd5cfca4425592c8bfd,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/Can we encrypt data using Elliptic Curves_ - Andrea Corbellini.pdf,487501,2629a864d49cd1008d159096903784963f46c3825703e29148bd5cd450223194,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/csidh-analysis-main.zip,227614,bd61ed91c01ccfe77e1e2d03d2442a785405ac9b8b420b5051c7a30642727bbd,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/ECC_Attacks-main.zip,5119943,739cc9003183cfedd1cc7ec98e65dccf4bc681b8ac5d7590832feed4b2b7edbb,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/ECDH example with secp256k1/D-H Example with secp256k1.md,5631,45f4d5c40e9fddbb8b5a383634309ac44d0bdb3e840a90eaa9e15b00c998a719,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/ECDH example with secp256k1/ecdhe.py,4622,7efda766a0bd1ae9482bdf2f9513654046e47c684ba251119ee5cfe2a6d68d22,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/ecdhe.py,4370,8e39f2aa4aa76a3533001d425f19a2848731070f3134af59dc5ecb56409cf32f,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/ecdsa.py,5168,f191c78e6a1b12194a51e8a91d8cdb1e46595c92e458ee6d95421428cfe2e5f9,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/ecfactory-A-SageMath-Library-for-Constructing-Elliptic-Curves-master.zip,5444963,2abc6e1556d92ff42d3732001f9f5bdf7a39424eb11338633713ea2531fead25,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/Elliptic Curve Cryptography Project.pdf,6241148,1994a1b12a5223c2e80aa2518f8b04ce17b791c62a5d5d25e286f359cc3f3d91,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/Elliptic_Curves/.ipynb_checkpoints/ECDH_intro-checkpoint.ipynb,9571,2a1e2082dd0334c0af2ab69761a35862746deea1db322c2f486cb1f448d68631,discarded generated artifact,,"Notebook checkpoint, Python bytecode, or operating-system metadata."
Mathematics/Elliptic curves/Elliptic_Curves/.ipynb_checkpoints/EC_intro-checkpoint.ipynb,37564,fb5b9bd5376e6ee6021cb6cf37df39f1952b93780cde82eb4fa9c88f80e1f7c1,discarded generated artifact,,"Notebook checkpoint, Python bytecode, or operating-system metadata."
Mathematics/Elliptic curves/Elliptic_Curves/ECDH_intro.ipynb,9561,b510edc30904dad62011814c49983184e3343ae385df0071caba9fde8f3d7664,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Elliptic_Curves/EC_intro.ipynb,37564,fb5b9bd5376e6ee6021cb6cf37df39f1952b93780cde82eb4fa9c88f80e1f7c1,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Elliptic_Curves/vulnerabilities/.ipynb_checkpoints/singularity_issues-checkpoint.ipynb,44004,ff48ea57aab61c59d611ab99e90e283772d144836db3c918c29e0815be8c21f9,discarded generated artifact,,"Notebook checkpoint, Python bytecode, or operating-system metadata."
Mathematics/Elliptic curves/Elliptic_Curves/vulnerabilities/singularity_issues.ipynb,44005,c9ca58776585b0d3278194f198fba6f05ae4437db2efa80c07b1d33b1b9d033b,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/FESTA-SageMath-main.zip,61608,b48f955b5b8624ac431fa852f5da136c9a4c5548004bda107f053b712d99cbe0,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/IJCTF 2021 - ECSign _ joseph's blog.pdf,293430,07c0550aa49c3c64f3fd538639fc5df0b2d60804cb1416658f21f41ae5664133,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/PostScryptum-master.zip,31385,1bb1f14a5d5a59a3946f8b6d826113932d40c89c70d64848f75294b5d9de7274,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/Random sage codes/Calculations for p 2.sagews,2900,fe5ea15020b5e2389760a6fe077ba54f2c511eb016bf74560e1b5682cc9e12c5,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Random sage codes/Calculations for p 3.sagews,4013,b9821689d5d279c2d168268c4533759513dc5e5884e0ecf4087f3bb79406f490,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Random sage codes/Discriminant of an Elliptic Curve.sagews,1784,8e422f97757c964bba3f546659722d837b163f62e7f556060d781a8244ab44b5,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/two-isogenies-main.zip,187079,e3edf93ef164bf967925b889872eea64decd7537aaaf87de01c6477d8715d933,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/Visualization of EC/ec.py,2588,c678e6a9fef300b4c89e4e08deb23c7a1d1e4bb1d34f42c6795936f845b204f5,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/ecdsa.py,3593,8930ddab1675c1bf6c4cb3ee05123c16e5e675d7b5e941fbc56c2fb7a3c58d8c,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/ecdsa_knowledge_alice.png,46506,2d674904d1a0e6f8aaec1fab4c9bc59a31ae073040e1428ac2da43c65fc9bded,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/ecdsa_knowledge_bob.png,32356,19b852c1551ed26a26304f44e7a9d87fe383726ce639ba221c9e90f3bd3f7097,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/ecdsa_knowledge_eavesdropper.png,21518,588106a656207f29bba34b5b2cce03d2fdeaccffa53ebb685eaaef2cd17f7b8a,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/multisignature_alice.png,42010,dedab6178cf1c2e0b7f7c12d4a7dcded3684fc8bb69b3b52536de0daf362be55,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/multisignature_bob.png,29458,4d4d863f43f72242495eef39cf21808791257f029a70decb2d4d39ee3f78c143,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/multisignature_composite.png,21696,34d416a4d20c3f492dc3f4eb1998fe06dfea022dd905bdffad31105ebc02f1c9,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/multisignature_lhs_signatures.png,23347,ef30fff9af4f4c07715cb1908a18259918bc919be225deb4d9c51a40a08d18e8,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/multisignature_nonces.png,28052,0c8488574ed67247bf9e228af260d9d9ce0613fb6d7a75c65e03ec7218fffa3e,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/multisignature_rhs_signatures.png,24029,daa4ba51b7c337d5cccc29ec776780eb71e1bc887809fc1ffe04123ca714a4e5,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/plotting.py,2422,bbbf27090f87dbf2615d2dfea7b9a7b4c61e13cb51e2a3422a0e3d278421605b,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/plotting2.py,1291,e36c92aabacee90ae47cf6045f310bf21727221e55dcaa650d30fa393137b927,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/run.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,discarded empty placeholder,,Empty source file; no canonical content to preserve.
Mathematics/Elliptic curves/Visualization of EC/signatures.png,37541,e3d0c4ec6a412ec2b98a2984cebd817140362afe7f8f523e9386fdb6fea31f89,superseded by stronger canonical work,Elliptic Curve Mathematics / Digital Signatures / Diffie–Hellman & ElGamal,"Older EC/ECDH/ECDSA notebooks, scripts, and visuals are covered by stronger canonical articles and implementations."
Mathematics/Elliptic curves/Visualization of EC/__pycache__/plotting.cpython-39.pyc,2319,1c3dc7db48e969bb0a81da2b6db75acff4dfa610a4048e3a5c90d719476ed9f8,discarded generated artifact,,"Notebook checkpoint, Python bytecode, or operating-system metadata."
Mathematics/Elliptic curves/Visualization of EC/__pycache__/plotting2.cpython-39.pyc,1340,a8315f9fab3a8659336d8bc6653e72381d20b126cd241da963658579766fdfee,discarded generated artifact,,"Notebook checkpoint, Python bytecode, or operating-system metadata."
Mathematics/Elliptic curves/What Are Elliptic Curve Pairings_ _ Zellic — Research.pdf,449529,03e0611ebcac912e5e8b82271a26fddcfaa06645202717f2aac8661cdb2bf69f,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/When back doors go bad_ Mind your Ps and Qs _ 1Password.pdf,980345,d45303c45b5830df482ec18ba181f18b735339a14969415e77ec7184d04f7c22,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/Elliptic curves/ångstromCTF 2023 - tau as a service _ joseph's blog.pdf,439538,5e3d4dbb228ccfa9733f6e2b7ba155b66dd55ec367e65e39d00ae41aa59c1452,reference-only retained in source batch,.local-reference-library/source-batches/Mathematics.zip,Third-party/reference EC material; not copied into the active site or GitHub tree.
Mathematics/EllipticCurvesFixed/Advanced EC/1.IsogenyNeighbors.md,5377,6ba40528f5e66f63542d44c74e45d8494ec72a3e49cf76243276de035360ed72,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/10.IndexCalculus.md,5799,d9c577f0a73c3fb7c0db7c4e902a32e872837fb2771437fc87c1bfb286d91e77,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/11.Montogomery.md,5464,5325b854757431856942d17ab06c9237ec358e88c680510362621444b041407f,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/12.Pollardpm1.md,4537,63b07414dc7d5765d1f268d216c625a9cc09a5d51b1346cb13969db1f254c821,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/13.Normequation.md,4403,52841c8dae71f237842106234ab1597f577e92ca6528fac4d44df5d0235ec169,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/14.PrimeForm.md,4662,9da7fcae29c289f093158c66f4a775c666ee387f9a947b8c6875dbe0675f4053,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/2.GroupLawEdwardCurves.md,6069,949730af096a36a013d963cfc4e35c8817eafe91eecd64a3a254afd37e3a5962,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
Mathematics/EllipticCurvesFixed/Advanced EC/3.Proofofassociativity.md,9813,67d1dbe610015468c0c4e3d0159a5b0772c18c5d0597ab30006ed52e151b12c5,integrated/reworked,Elliptic Curve Mathematics / Computational Number Theory / Discrete Logarithm Algorithms,Reviewed advanced EC/number-theory material used to correct or extend canonical articles; selected Sage sources retained as companions.
