source_path,size_bytes,sha256,disposition,canonical_destination,notes
ZKPs/ZKP code/research-master.zip,13485523,4e2cce54317eea054c2f545a75fa94ae16ec4f7088902e5f29aa8a4888c10c39,reference-only with selected conceptual integration,src/content/blog/polynomial-commitments-kzg-ipa.md; src/content/blog/plonk-proof-system.md; src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md,"Large mixed third-party research repository; selected ZK/PCS/STARK concepts reviewed, full repository excluded."
ZKPs/ZKP code/STARK_Py-cleaning_up/.gitattributes,66,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,discarded repository metadata,,Repository metadata has no canonical content value.
ZKPs/ZKP code/STARK_Py-cleaning_up/better_lagrange.py,409,83d6968a1dd5ea23cf8f21034353b3e074f013fd8d60fd42febbd135718158b3,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/computation.PNG,123481,1a77dcb2e01bb1aef28fe38cd0b3bf3b02246ee562e60fd25c252fe4a17dd20b,superseded source figure,,Legacy benchmark/illustration from educational STARK source; not retained as canonical evidence.
ZKPs/ZKP code/STARK_Py-cleaning_up/fft.py,4186,ae5353f627efa7e696033beb2f642b4682d7135f3bf2193b5a48150f344bdfc5,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/fibo_stark.py,12069,9984ec51af2107691b7ba87228ab7df767e1759829dcf767979258b1b2141183,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/fri.py,5831,2a54d5e9681ad4c08aaa764f3d2af971e946b4efaafef12fbe6789a25602a74c,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/merkle_tree.py,3976,f0c3ded6ebb6439f65faeb3db2d42c453fe639960f83d7a7cae84034a6c335a2,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/permuted_tree.py,1250,56de311f46363033bc5828c0a39632548baf71f91a436d8caab1a338cee5e98e,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/poly_utils.py,7969,52f8918ff184c2630fa0ebb455a1e4b9039d68f6613d44dab91c67f0b787d969,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/prover_time.PNG,132626,283133b6d916e96623c9768d816a235fde370751a56cc5dac803609c685b6974,superseded source figure,,Legacy benchmark/illustration from educational STARK source; not retained as canonical evidence.
ZKPs/ZKP code/STARK_Py-cleaning_up/README.md,898,24dc56790b189511f3d7b139d1768f5fa37b27c8d8ae63b4bb2fc16570cc8962,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/test.py,1596,b54c91ab8e00b4a7c0a501080d2c38f1f80cbea65e6b95a3275868f8d86a43f7,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/testing.py,2323,f2188ec76e2bd6bdb50674e55e2cef9bc94a0cbd0b962293b4d5c2eca1694ee2,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/test_multi_merkle.py,562,00dd5553184b4b302cb8d983edd36ae168e509329a9c24df42bdae27fbad0009,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/utils.py,951,49f98ae08c149edb863dd77fd34af78330112e27eed46a0d3f36bdbcc5e3d4cc,superseded by cleaned canonical work,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri; experiments/zero-knowledge/merkle,Legacy educational STARK implementation reviewed conceptually; canonical master keeps smaller validated components and corrected prose.
ZKPs/ZKP code/STARK_Py-cleaning_up/verifier_time.PNG,129693,ec143ccf2ec826674e320a18ee4bb18cdd227ddb015c31d194d842f5e66b6b8e,superseded source figure,,Legacy benchmark/illustration from educational STARK source; not retained as canonical evidence.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/fft.cpython-312.pyc,6295,df570b7be2eec0c702338a7ab740fdc994086d506a5e77826f49e0a910585938,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/fft.cpython-38.pyc,4361,564beb86a8d9c82d892b7523474f6a17fdbb6382bba0467bd8178c2d4123e7f0,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/fibo_stark.cpython-312.pyc,13822,ce6be5ac9a5d1a2d7cd54afa3b3dff74e20526f8558d0aa62d772af00a582b7d,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/fibo_stark.cpython-38.pyc,8764,b43b101b8f9718350f52c59b5f7dfe7e5bddee30e1b11e5c051c6dfdac3d71bc,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/fri.cpython-312.pyc,6182,571ad22a5b1bc9fee9307c80fe9afbd1f831aaffe16a216996afbff713557b7d,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/fri.cpython-38.pyc,4831,33bba13ad94cf0931a6975b6b3720816c584e9d37e506a31dcc2d2d32c073303,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/merkle_tree.cpython-312.pyc,5173,7dd8d00b8025da8824df08ae2eb0f264680cdf976c2825180d5ff5049da2023e,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/merkle_tree.cpython-38.pyc,3403,5eecc68feacbd6d2b9d39107301e3b90ffecfbb96fb94e162ce9f1b32bf6e417,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/permuted_tree.cpython-312.pyc,2435,0d160c5980f7520127f2e99d302fc6ab06bd7a97c71aea0eeeb4000d412fa102,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/permuted_tree.cpython-38.pyc,1881,5d8c9abfddc0bd9b5a2ee13c075239d20bdababf77105e82039ad458679555ba,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/poly_utils.cpython-312.pyc,12908,495421023f0f9da0519b79244da00b1e184bf97b866d336b29cc5469e942536c,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/poly_utils.cpython-38.pyc,8679,85c5a61e7322cdeef6dac5dfc5217a069615e7490e2bc75e6206720728957c49,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/utils.cpython-312.pyc,1753,878dff284acdfa213df2009a008020a980d53a21ef6f149a98362227ffc031aa,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up/__pycache__/utils.cpython-38.pyc,1416,1553b113d0f69e618c1d5b4933cc5bd1500a0e86bb12fc2e9275676b0714a4cd,discarded generated artifact,,Compiled Python cache; not source material.
ZKPs/ZKP code/STARK_Py-cleaning_up.zip,392213,b0e90740cbf06bcea32c9d853b65463afe854b07669b52f8b420ac95815f4e6a,superseded duplicate archive,,Nested archive duplicates the adjacent extracted STARK source tree and is not rebundled.
ZKPs/ZKP code/ThoreChain-master.zip,3340,660b9f515bb5d87aa1ba390ed1156f0217582b68f6aa89d13c01fbe790eac0a7,out-of-scope reference-only,,Blockchain/demo material not needed for the canonical ZK curriculum.
ZKPs/ZKP code/Understanding the Math Behind ZKPs.pdf,1599465,d918ce767ce47c0321a1688b73a1abbd3c16409ace793a3153532368f800e5df,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/Why zk-SNARKs Are Crucial For Blockchain Data Privacy.pdf,2769960,d8874924fba816bbf43a8b70645ea96b1ecb4be2e9da7be0128c837a26d7f1a8,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/ZK-Argument-for-Partitioning--Shir-Peled-master.zip,20184,2a87ebfe57a2602d1eeaf3edc8bceb476aa5f892fe5c3c455868aeacd773615c,integrated conceptually,src/content/blog/commitments-merkle-iops.md,Merkle/oracle challenge tutorial distilled into the generic commitment/IOP chapter; repository snapshot excluded.
ZKPs/ZKP code/zkintro-math-main.zip,3505,718f28dc182c047f8a1ca26c8891da0812137694e3ed27c23f014d1a6895c3dc,reference-only conceptual source,src/content/blog/zero-knowledge-foundations.md,Small ZK/commitment teaching examples overlap stronger canonical material; not copied.
ZKPs/zkSNARK-under-the-hood-main.zip,141513,06332fbbe357a288d7c80147d68048c6b085a2cf0c98dfe110d42d67f0dccd0d,integrated conceptually,src/content/blog/groth16-zksnark.md; src/content/blog/plonk-proof-system.md,Groth16/PLONK notebook material synthesized; third-party notebook/Solidity repository excluded.
