source_path,size_bytes,sha256,disposition,canonical_destination,reason
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/fourier.cpython-310.pyc,2479,12930307f93fb1bf394497e1f19e2bd184d749db0ef29c63ac140923775a497b,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/interpolation.cpython-310.pyc,1726,7d215122b1aae2eac46633d2d73e19ab39835aeba0a63a5765d3ea21863d3b23,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/interpolation.cpython-39.pyc,1729,88abb975ea56f9d4d8568276e2bb422d8b2adf8b009bd037478000b2b99cbba3,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/lagrange.cpython-310.pyc,1359,709899dd683cf51e1edfddee6c71eba1bd105f1b2a1d66203a4657aa67dc4508,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/newton.cpython-310.pyc,1673,ebf44a841526e86108106e910982b41f64ac0cdb3483ed619d1c87f3fbfc9cd3,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/utils.cpython-310.pyc,4655,e9c8fcfeb6462a64487160cbf5983ccd39840ceb9ef10cacd7ffbe7a41a92713,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/barycentric.cpython-310.pyc,1964,f7c278b71f4e837b8f016ffb9910152ef04d0da290a830c2a12a40d9154f81e1,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/case1.cpython-310.pyc,2274,109d77cf9825e1f8bc24bb5f8dbff9d3acf22b00dd8f1974826106ffebb46364,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/case1.cpython-39.pyc,2216,7a339c5769d22d455abe9c951f27421157eede8fca2ef5e75ae2522579b9573d,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/case2.cpython-310.pyc,1435,6f4d50a9e5a5c7a08dbf7a2e2ddb55f342c920a270ccb2feb1c92af384c96411,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/case3.cpython-310.pyc,1622,0ebde74946b088438cc44e0305942feadfbbd836532d8c3dd0bdddb7b5086d18,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/case4.cpython-310.pyc,1443,5212b1adc3fe9ad0c8a4df93a7806993f010dcc7135db9b624cf5218a0696b11,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/FFTonly.cpython-310.pyc,16325,50fd2973ea39186e1f174c9f3e1bb52f1a6551acc2a1081b14750970ee83024e,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/fourier.cpython-310.pyc,2475,439f8aebe1d296b9f22aaf7dbc230f66092f29b16ebe814ae2f4a76cbc3cbe29,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/interpolation.cpython-310.pyc,1722,0b42c27bb765670f71aafbcc9162b32c0f12cfc446faab6f11365cf95486d169,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/interpolation.cpython-39.pyc,1676,a4df887f1120f4d1fb319c8ec622481da9c9bb7da2eaabb5c6f62ab749738b12,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/lagrange.cpython-310.pyc,1355,2043387d929321bdb13903df9130f6c7a4642e8a8269709a951082cade9daea1,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/newton.cpython-310.pyc,1669,2a7d2c6a8e66a1cf46ebc37b9e000f89767202fe565ddd1980d787df8d9fda4c,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/__pycache__/utils.cpython-310.pyc,4651,9a86e4d6ef4dfd2964ff25677cc57e0c99420929716708ea4bdd4ad3e89e35f6,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/SPDZ.py,21937,12c6612e5eaae9a897f84ca5107472762d3e542786e0bf5b5944ab0f839653dc,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md,Early MPC/SPDZ sketch consolidated into corrected MPC series.
Secret Sharing/SSS scheme/SSS scheme/fft.py,16196,2fc00d96f8d7095cbb0341afe6b8d930f9b19f336750f5c58731086dc9fcd4f3,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Polynomial evaluation/FFT material superseded by canonical interpolation and NTT articles.
Secret Sharing/SSS scheme/SSS scheme/hornerrule.py,3337,0556a092984217f70c35ea5bb67ad5d8aee8526e43ba1358cdc36c1c3f06ec16,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Polynomial evaluation/FFT material superseded by canonical interpolation and NTT articles.
Secret Sharing/SSS scheme/SSS scheme/mateer-thesis.pdf,1446528,9a1341d5697967896d690a10cba924e30a2de509e488b15ddfc62d9de617ce09,reference-only-omitted,,Paper/thesis PDF excluded by compact-master policy.
Secret Sharing/SSS scheme/SSS scheme/NeuralNetwork.py,924,2e3c665c3ca53d2ad7888c3897ab1eb1f0a031a75d371d9c65b15af151c99c37,integrated-reworked,src/content/blog/mpc-vectorized-private-ml.md,"Tensor/private-ML sketches retained as audited research concepts, not secure implementations."
Secret Sharing/SSS scheme/SSS scheme/NeuralNetwork2.py,1120,8d1e54841c4bb93d3ffca5dee84a9df4ee473b6b05fc394c3090f5c629895a03,integrated-reworked,src/content/blog/mpc-vectorized-private-ml.md,"Tensor/private-ML sketches retained as audited research concepts, not secure implementations."
Secret Sharing/SSS scheme/SSS scheme/partialsign.py,4361,f4b73be481b788f32defed944e1c471cd83ffb6957e3370eaf11cdef098a876c,superseded-by-canonical,src/content/blog/secret-sharing-multisig-dkg-threshold-signatures.md; src/content/blog/distributed-randomness-beacons.md,Threshold/BLS signature ideas already covered more rigorously in canonical threshold series.
Secret Sharing/SSS scheme/SSS scheme/shamir.py,2424,a232eaff87eb22fbd3e5320ea17f3905a501b804350b298d1b1aba5dfe99877e,integrated-reworked,src/content/blog/shamir-share-arithmetic-degree-growth.md; experiments/secret-sharing/shamir-arithmetic,Shamir arithmetic material consolidated; threshold terminology and multiplication/degree-growth claims corrected.
Secret Sharing/SSS scheme/SSS scheme/sharing.py,3406,8624cdc70fde3c531cf349781b5b41d76b52a2606a48d9f17e399799b8b9fbe8,integrated-reworked,src/content/blog/shamir-share-arithmetic-degree-growth.md; experiments/secret-sharing/shamir-arithmetic,Shamir arithmetic material consolidated; threshold terminology and multiplication/degree-growth claims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/BasicSPDZ(mortendahl).py,4713,da0d4f5f52ed403eba48f24c4b13fcd04fbc989185b3de1f5dc2332dcd96a764,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/fullSPDZprotocol.py,1545,fd749332bd9b11d003a6d4f763f79d521c9bdd99e44b8d84a396ff2b22f7f99a,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/SigmoidTraining.py,12842,2c701ed16f6a38a44436de7bdff23f8f59aa2cde0f82f7c43b6bf5e714e57a84,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/SPDZ.md,20914,a9301573e82ab215f72e75557c59ef4de57418819330de6e1aeb1119bb957285,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/SPDZ2Bristol.md,17959,e5ded356fd9dbff36772f9ffc0fb88864e874ce91af483859c7fab9394a3a582,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/SPDZprotocol.md,7410,848b2b34d2507588e76398283060e6b7577ce76c66cd23acaff3eb2139edd457,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SPDZ/TrainingCNNSonprivatedata.md,7006,e1728a899b4b245fc15400155a5884adb08aeba643a2e1fe612ab3ea9a084a3f,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-beaver-triples.md; src/content/blog/mpc-authenticated-secret-sharing.md; src/content/blog/mpc-spdz-protocol-anatomy.md; src/content/blog/mpc-spdz-security-engineering.md; src/content/blog/mpc-vectorized-private-ml.md,SPDZ/MPC notes and prototypes cleaned into a dedicated canonical MPC series; overclaims corrected.
Secret Sharing/SSS scheme/SSS scheme/SSS.md,5725,8d269c1207ba0c1fd8893f8e21bfa82fa8e42ee737d049fce338f73b2063522e,integrated-reworked,src/content/blog/shamir-share-arithmetic-degree-growth.md; experiments/secret-sharing/shamir-arithmetic,Shamir arithmetic material consolidated; threshold terminology and multiplication/degree-growth claims corrected.
Secret Sharing/SSS scheme/SSS scheme/sss.py,5334,e970a66179b9abe3cca9da59321e12cdd5a6375ca65c35bbaa0a12e903ebf0e1,integrated-reworked,src/content/blog/shamir-share-arithmetic-degree-growth.md; experiments/secret-sharing/shamir-arithmetic,Shamir arithmetic material consolidated; threshold terminology and multiplication/degree-growth claims corrected.
Secret Sharing/SSS scheme/SSS scheme/SSSwithBLS.py,3823,8333fe8f697daa729ce258712bd08c9982297cc145f2b4824e2974bc8df1a36f,superseded-by-canonical,src/content/blog/secret-sharing-multisig-dkg-threshold-signatures.md; src/content/blog/distributed-randomness-beacons.md,Threshold/BLS signature ideas already covered more rigorously in canonical threshold series.
Secret Sharing/SSS scheme/SSS scheme/tensoring.py,2795,6ef0529f6cf598de65ecab8584a715b22e55e33f4e816ac661dcee41726b2bf4,integrated-reworked,src/content/blog/mpc-vectorized-private-ml.md,"Tensor/private-ML sketches retained as audited research concepts, not secure implementations."
Secret Sharing/SSS scheme/SSS scheme/UpgradesofShamir.md,4346,0b1bfccaa2aa4e346efc2980d56e39379b27f7d228c4369e1dceab63e9f21e3f,integrated-reworked,src/content/blog/beyond-shamir-secret-sharing.md,Ramp/proactive/share-conversion notes consolidated and corrected.
Secret Sharing/SSS scheme/SSS scheme/wholesomeexample.md,31408,40073c76e653a6bb32c295f70dec2f76dbe63d8b9274d50a79ec2c48883a07b8,integrated-reworked,src/content/blog/mpc-from-secret-sharing.md; src/content/blog/mpc-vectorized-private-ml.md,Large tutorial mined for MPC/private-ML structure; terminology/security boundary corrected.
Secret Sharing/SSS scheme/SSS scheme/__pycache__/additive.cpython-39.pyc,2765,052fb6f76a5e20c4f944ecbb6736e7e9ff3f28aea1b00274db19c704c311a3af,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/SSS scheme/__pycache__/hornerrule.cpython-39.pyc,2517,9f5f6fe94a3381070f44757cc91172a104165373d86131e76b150a34acba4b7c,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/SSS scheme/__pycache__/shamir.cpython-39.pyc,3793,412f0ba11a8b802bdd9dd6e2305cd2867a53098854c07a739d508c9c7f3a541f,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/SSS scheme.zip,1365802,e14eb5f2c1f2bc4e6c460e1195ca9e59415a904bd3d879974208a06360660807,reference-archive-omitted,,Nested source/archive ZIP excluded from compact canonical master.
Secret Sharing/SSS scheme/Verifiable-Computation-main/.gitignore,15,098b77ff7e9d25bfc0ab9dff3b863ad5581871b7e31a25e3c4eeea28bff2f8b2,reference-only,,Separate verifiable-computation research repository; not mature secret-sharing/MPC canonical content for this batch.
Secret Sharing/SSS scheme/Verifiable-Computation-main/demo.sage,660,67fd9e311401b26dfd1833fb6eeb8b400ddc13cfe467abe179214555050c2d43,reference-only,,Separate verifiable-computation research repository; not mature secret-sharing/MPC canonical content for this batch.
